original_english	augmented_spanglish	original_spanish
Specialized negative pressure ventilation may be appropriate in some healthcare and mortuary settings.	especializados negativo presión ventilación mayo be adecuado in algunos healthcare y morgue settings.	La ventilación especializada con presión negativa puede ser adecuada en algunos entornos de atención médica y morgues.
Specimens should be handled with Biosafety Level 3 precautions.	Specimens should be handled with Biosafety Level 3 precautions.	Las muestras se deben manipular tomando precauciones de Nivel de Bioseguridad 3.
The World Health Organization (WHO) recommends that incoming patients be separated into distinct waiting areas depending on whether they are a suspected COVID-19 case.In addition to other PPE, OSHA recommends respirators for those who work within 6 feet of patients known to be, or suspected of being, infected with SARS-CoV-2, and those performing aerosol-generating procedures.	la mundo salud organización (WHO) recomienda que entrantes pacientes be separada into distinct esperando áreas dependiendo on whether ellas son a presuntos COVID-19 case.In adición to otras PPE, osha recomienda respirators para esos quien trabajos within 6 pies of pacientes conocidas to be, or presuntos of being, infectada con SARS-CoV-2, y esas realizar aerosol-generating procedures.	La Organización Mundial de la Salud (OMS) recomienda que los pacientes que ingresan se separen en distintas salas de espera en función de si se sospecha o no que puedan tener COVID-19. Además de otros tipos de equipos de protección personal, la OSHA recomienda el uso de mascarillas para aquellas personas que trabajen a una distancia de hasta 6 pies de los pacientes que se hayan contagiado o se sospeche que se han contagiado de SARS-CoV-2 y para aquellos que realicen procedimientos de generación de aerosoles.
In the United States, NIOSH-approved N95 filtering facepiece respirators or better must be used in the context of a comprehensive, written respiratory protection program that includes fit-testing, training, and medical exams.	In el unido States, NIOSH-approved N95 filtración facepiece respirators or better debe be usada in las contexto of a comprehensive, escritas respiratorias proteccion programar eso incluye fit-testing, training, y médicas exams.	En los Estados Unidos, se deben usar respiradores N95 con mascarilla de filtrado aprobados por NIOSH o superiores en el contexto de un programa respiratorio integral escrito que incluya pruebas de ajuste, capacitaciones y exámenes médicos.
Other types of respirators can provide greater protection and improve worker comfort.The WHO does not recommend coveralls, as COVID-19 is a respiratory disease rather than being transmitted through bodily fluids.	otras tipos of respirators puede proporcionar greater proteccion y mejore trabajador comfort.The quién hace not recomiendo coveralls, as COVID-19 is a respiratorios enfermedad rather than ser transmitido through bodily fluids.	Otros tipos de mascarillas pueden brindar una mayor protección y mejorar la comodidad del trabajador. La OMS no recomienda el uso de monos protectores, ya que la COVID-19 es una enfermedad respiratoria, no una que se transmita por los fluidos corporales.
WHO recommends only a surgical mask for point-of-entry screening personnel.	quien recomienda solo a quirúrgica máscara para point-of-entry proyección personnel.	La OMS solo recomienda el uso de una mascarilla quirúrgica para el personal de clasificación de pacientes que ingresan.
For those who are collecting respiratory specimens from, caring for, or transporting COVID-19 patients without any aerosol-generating procedures, WHO recommends a surgical mask, goggles, or face shield, gown, and gloves.	para esas quién are coleccionar respiratoria ejemplares from, cariñoso for, or transportando COVID-19 pacientes sin cualquier aerosol-generating procedures, oms recomienda a quirúrgico mask, goggles, or face shield, gown, y gloves.	Para aquellos que tomen muestras respiratorias de pacientes con COVID-19, les brinden atención o los transporten sin realizar procedimientos de generación de aerosoles, la OMS recomienda el uso de mascarilla quirúrgica, gafas o protector facial, bata y guantes.
If an aerosol-generating procedure is performed, the surgical mask is replaced with an N95 or FFP2 respirator.	If an aerosol-generating procedure is performed, the surgical mask is replaced with an N95 or FFP2 respirator.	Si se realiza un procedimiento de generación de aerosoles, la mascarilla quirúrgica se debe reemplazar por un respirador N95 o FFP2.
Given that the global supply of PPE is insufficient, WHO recommends minimizing the need for PPE through telemedicine, physical barriers such as clear windows, allowing only those involved in direct care to enter a room with a COVID-19 patient, using only the PPE necessary for the specific task, continuing use of the same respirator without removing it while caring for multiple patients with the same diagnosis, monitoring and coordinating the PPE supply chain, and discouraging the use of masks for asymptomatic individuals.	dados eso las mundial suministro of ppe is insufficient, quien recomienda minimización los necesitar para ppe through telemedicine, fisico obstáculos tal as despejado windows, permitiendo únicamente esas involucrada in directos cuidado to entrar a cuarto con a COVID-19 patient, usando solo los ppe necesario para los especifico task, continuando usar of las igual respirador sin eliminando it mientras cuidando para múltiples pacientes con las misma diagnosis, supervisión y coordinando las ppe aprovisionamiento chain, y desalentar las utilizar of máscaras para asintomática individuals.	Debido a que el suministro de equipos de protección personal es insuficiente, la OMS recomienda minimizar la necesidad de usarlos, reemplazándolos por la telemedicina, las barreras físicas tales como ventanas transparentes, la limitación del permiso de ingreso a la habitación de un paciente con COVID-19 solo a aquellas personas involucradas en su atención directa, el uso de una misma mascarilla sin retirarla mientras se brinda atención a varios pacientes con el mismo diagnóstico, el monitoreo y la coordinación de la cadena de suministro de equipos de protección personal y desalentar el uso de mascarillas por parte de personas asintomáticas.
WHEREAS on March 4, 2020, I proclaimed a State of Emergency to exist in California as a result of the threat of COVID-19;	WHEREAS on March 4, 2020, I proclaimed a State of Emergency to exist in California as a result of the threat of COVID-19;	POR CUANTO el 4 de marzo de 2020 proclamé la existencia de un estado de emergencia en California como resultado de la amenaza de la COVID-19;
and WHEREAS in a short period of time, COVID-19 has rapidly spread throughout California, necessitating updated and more stringent guidance from federal, state, and local public health officials;	y WHEREAS in a corto periodo of time, COVID-19 ha rápidamente difundir throughout California, necessitating actualizado y mas stringent orientación from federal, state, y locales públicas sanidad officials;	y POR CUANTO en un corto período la COVID-19 se ha propagado rápidamente a lo largo de California, lo cual hizo necesaria una orientación más actualizada y estricta por parte de los funcionarios de salud pública federal, estatal y local;
and WHEREAS for the preservation of public health and safety throughout the entire State of California, I find it necessary for all Californians to heed the State public health directives from the Department of Public Health.	and WHEREAS for the preservation of public health and safety throughout the entire State of California, I find it necessary for all Californians to heed the State public health directives from the Department of Public Health.	y POR CUANTO, a los fines de preservación de la salud y la seguridad públicas en todo el estado de California, determino que es necesario que todos los residentes de California sigan las directivas de salud pública del estado comunicadas por el Departamento de Salud Pública.
NOW, THEREFORE, I, GAVIN NEWSOM, Governor of the State of California, in accordance with the authority vested in me by the State Constitution and statutes of the State of California, and in particular, Government Code sections 8567, 8627, and 8665 do hereby issue the following Order to become effective immediately:	NOW, THEREFORE, I, GAVIN NEWSOM, Governor of the State of California, in accordance with the authority vested in me by the State Constitution and statutes of the State of California, and in particular, Government Code sections 8567, 8627, and 8665 do hereby issue the following Order to become effective immediately:	POR TANTO, YO, GAVIN NEWSOM, gobernador del estado de California, por la autoridad que me ha sido conferida por la Constitución Estatal y los estatutos del estado de California y, en particular, por las secciones 8567, 8627 y 8665 del Código de Gobierno, a través de la presente, emito la siguiente Orden, la cual entrará en vigor de manera inmediata:
IT IS HEREBY ORDERED THAT:	IT IS HEREBY ORDERED THAT:	POR LA PRESENTE SE DECRETA QUE:
1) To preserve the public health and safety, and to ensure the healthcare delivery system is capable of serving all, and prioritizing those at the highest risk and vulnerability, all residents are directed to immediately heed the current State public health directives, which I ordered the Department of Public Health to develop for the current statewide status of COVID-19.	1) To preservar los público sanidad y safety, y to ensure los healthcare entrega sistema is capaces of servir todos, y priorizar esas at la highest riesgo y vulnerability, todos residentes son dirigida to inmediato heed la actual estado público salud directives, cuál I ordenado los departamento of públicas sanidad to desarrollar para la actual statewide situación of COVID-19.	1) A los fines de proteger la salud y la seguridad públicas y garantizar que el sistema de atención sanitaria pueda servir a todos y, priorizando a aquellos que se encuentran en una mayor situación de riesgo y vulnerabilidad, se ordena a todos los residentes que acaten de inmediato las directivas de salud pública actuales del estado, las cuales desarrolló, bajo mis órdenes, el Departamento de Salud Pública para la situación actual a nivel estatal de la COVID-19.
Those directives are consistent with the March 19, 2020, Memorandum on Identification of Essential Critical Infrastructure Workers During COVID-19 Response, found at: https://covid19.ca.gov/.	aquellos directivas son consistente con las marchen 19, 2020, memorándum on identificación of esenciales crítica infraestructura trabajadores durante COVID-19 Response, encontrada at: https://covid19.ca.gov/.	Esas directivas son coherentes con el Memorando sobre la Identificación de los Trabajadores de la Infraestructura Crítica Esencial durante la Respuesta a la COVID-19 del 19 de marzo de 2020, el cual se puede consultar en: https://covid19.ca.gov/.
ORDER OF THE STATE PUBLIC HEALTH OFFICER	ORDER OF THE STATE PUBLIC HEALTH OFFICER	ORDEN DEL FUNCIONARIO DE SALUD PÚBLICA ESTATAL
To protect public health, I as State Public Health Officer and Director of the California Department of Public Health order all individuals living in the State of California to stay home or at their place of residence except as needed to maintain continuity of operations of the federal critical infrastructure sectors, as outlined at https://www.cisa.gov/critical-infrastructure-sectors.	To proteger públicas health, I as state públicos sanidad oficial y directora of el california departamento of público salud pedidos todos particulares living in las estado of california to estadía inicio or at sus place of residencia salvo as necesitó to mantengan continuidad of operaciones of los federales crítico infraestructuras sectors, as esbozado at https://www.cisa.gov/critical-infrastructure-sectors.	A fin de proteger la salud pública, yo, el funcionario de Salud Pública del estado y director del Departamento de Salud Pública de California ordeno a todas las personas que vivan en el estado de California que se queden en sus hogares o lugar de residencia, excepto según sea necesario para mantener la continuidad de las operaciones de los sectores de infraestructura crítica federal, tal como se establece aquí: https://www.cisa.gov/critical-infrastructure-sectors.
In addition, and in consultation with the Director of the Governor's Office of Emergency Services, I may designate additional sectors as critical in order to protect the health and well-being of all Californians.	In addition, and in consultation with the Director of the Governor's Office of Emergency Services, I may designate additional sectors as critical in order to protect the health and well-being of all Californians.	Además, en consulta con el director de la Oficina de Servicios de Emergencia del Gobernador, podré designar otros sectores adicionales como sectores críticos para proteger la salud y el bienestar de todos los residentes de California.
Pursuant to the authority under the Health and Safety Code 120125, 120140, 131080, 120130(c), 120135, 120145, 120175 and 120150, this order is to go into effect immediately and shall stay in effect until further notice.	Pursuant to la autoridad debajo las salud y seguridad código 120125, 120140, 131080, 120130(c), 120135, 120145, 120175 y 120150, esta pedidos is to go into efecto inmediatamente y shall quédate in efecto hasta further notice.	De conformidad con la autoridad conferida por las secciones 120125, 120140, 131080, 120130(c), 120135, 120145, 120175 y 120150 del Código de Salud y Seguridad, esta orden entrará en vigor en forma inmediata y seguirá en vigor hasta próximo aviso.
The federal government has identified 16 critical infrastructure sectors whose assets, systems, and networks, whether physical or virtual, are considered so vital to the United States that their incapacitation or destruction would have a debilitating effect on security, economic security, public health or safety, or any combination thereof.	el federal gobierno ha identificada 16 crítico infraestructuras sectores cuya assets, systems, y networks, whether fisico or virtual, are considerado so vital to la united estados eso sus incapacitation or destrucción would tienen a debilitante efecto on security, económicos security, publico sanidad or safety, or cualquiera combinación thereof.	El gobierno federal ha identificado 16 sectores de infraestructura crítica cuyos activos, sistemas y redes, tanto físicos como virtuales, se consideran tan cruciales para los Estados Unidos que su incapacitación o su destrucción tendrían un efecto debilitante para la seguridad, la seguridad económica, la salud o sanidad pública o cualquier combinación de estas áreas.
I order that Californians working in these 16 critical infrastructure sectors may continue their work because of the importance of these sectors to Californians' health and well-being.	I ordenar eso californianos trabajar in éstas 16 critica infraestructuras sectores may continuar su trabaje porque of las importancia of estos sectores to Californians' salud y well-being.	Ordeno que los residentes de California que trabajan en estos 16 sectores de infraestructura crítica puedan continuar desempeñando sus tareas debido a la importancia de estos sectores para la salud y el bienestar de los residentes de California.
This Order is being issued to protect the public health of Californians.	esta pedidos is estar emitido to protegerla las públicas sanidad of Californians.	Esta Orden se emite para proteger la salud pública de los residentes de California.
The California Department of Public Health looks to establish consistency across the state in order to ensure that we mitigate the impact of COVID-19.	el california departamento of públicas salud miradas to establecer coherencia across los estado in pedido to ensure eso we mitigar la repercusión of COVID-19.	El Departamento de Salud Pública de California busca establecer una uniformidad en todo el estado a fin de garantizar que mitiguemos el impacto de la COVID-19.
Our goal is simple, we want to bend the curve, and disrupt the spread of the virus.	Our goal is simple, we want to bend the curve, and disrupt the spread of the virus.	Nuestro objetivo es simple: queremos aplanar la curva y detener la propagación del virus.
The supply chain must continue, and Californians must have access to such necessities as food, prescriptions, and health care.	los aprovisionamiento cadena debe continue, y californianos deben tengan acceder to tal necesidades as food, prescriptions, y salud care.	La cadena de suministro se debe mantener y los residentes de California deben tener acceso a los productos de primera necesidad, como alimentos, medicamentos recetados y atención médica.
When people need to leave their homes or places of residence, whether to obtain or perform the functions above, or to otherwise facilitate authorized necessary activities, they should at all times practice social distancing.	when pueblo necesitar to dejar su casas or plazas of residence, whether to obtener or realice la funciones above, or to otherwise faciliten autorizada necesario activities, ellas debiera at todo times practicas social distancing.	Cuando las personas tengan que salir de sus hogares o lugares de residencia, ya sea para obtener los productos o realizar las actividades anteriormente mencionadas, o bien, para facilitar las actividades necesarias autorizadas, deberán aplicar el distanciamiento social en todo momento.
2) The healthcare delivery system shall prioritize services to serving those who are the sickest and shall prioritize resources, including personal protective equipment, for the providers providing direct care to them.	2) las healthcare entregas sistema shall priorizar servicios to servir esos quiénes están los sickest y shall priorizar resources, incluidos personal protector equipment, para las providers proveer directos cuidados to them.	2) El sistema de atención médica deberá priorizar los servicios para ayudar a quienes estén más enfermos y deberá priorizar los recursos, incluidos los equipos de protección personal, para los proveedores que les brinden atención directa a estos.
3) The Office of Emergency Services is directed to take necessary steps to ensure compliance with this Order.	3) The Office of Emergency Services is directed to take necessary steps to ensure compliance with this Order.	3) Se le ha ordenado a la Oficina de Servicios de Emergencia que tome las medidas necesarias para garantizar el cumplimiento de esta Orden.
4) This Order shall be enforceable pursuant to California law, including, but not limited to, Government Code section 8665.	4) This Order shall be enforceable pursuant to California law, including, but not limited to, Government Code section 8665.	4) El cumplimiento de esta Orden será exigible de conformidad con las leyes de California, las que incluyen, sin limitarse a este, el Código de Gobierno, sección 8665.
IT IS FURTHER ORDERED that as soon as hereafter possible, this Order be filed in the Office of the Secretary of State and that widespread publicity and notice be given of this Order.	IT IS FURTHER ordenó que as próximamente as hereafter possible, esto ordenar be presentó in el office of el secretario of state y que extendido publicidad y aviso be dado of esto Order.	SE ORDENA, ADEMÁS, que, tan pronto como sea posible, se presente esta Orden ante la Oficina del Secretario de Estado, se haga pública y se divulgue en forma generalizada.
This Order is not intended to, and does not, create any rights or benefits, substantive or procedural, enforceable at law or in equity, against the State of California, its agencies, departments, entities, officers, employees, or any other person.	este pedidos is not pretendido to, y hace not, crean cualquier derechos or benefits, sustantiva or procedural, enforceable at ley or in equity, against las estado of California, sus agencies, departments, entities, officers, employees, or cualquiera otro person.	Esta Orden no crea ni se emite con el objetivo de crear ningún derecho o beneficio, sustancial o procedimental, exigible en derecho o equidad al estado de California, sus agencias, departamentos, entidades, funcionarios, empleados o cualquier otra persona.
IN WITNESS WHEREOF I have hereunto set my hand and caused the Great Seal of the State of California to be affixed this 19th day of March 2020.	IN testigos WHEREOF I tienen hereunto fijado my mano y causado la gran sella of las state of california to be affixed este 19th dia of marchen 2020.	EN FE DE LO CUAL firmo y estampo el Gran Sello del estado de California el día 19 de marzo de 2020.
FROM: Katherine Maher, Wikimedia Foundation CEO	FROM: katherine Maher, wikimedia fundación ceo	DE: Katherine Maher, CEO de Wikimedia Foundation
TO: All Wikimedia Foundation staff	TO: todo wikimedia fundación staff	Para: todo el personal de Wikimedia Foundation
SUBJECT LINE: [Covid-19] Lightening the load and preparing for the future	asignatura LINE: [Covid-19] aligerar las cargar y preparando para la futura	ASUNTO: [Covid-19] Aligerar la carga y prepararnos para el futuro
SEND DATE/TIME: 14 March, 2020, 00:24 UTC	SEND DATE/TIME: 14 March, 2020, 00:24 UTC	FECHA/HORA DE ENVÍO: 14 de marzo de 2020, 00:24 h, tiempo universal coordinado
LICENSING: CC0: No rights reserved	LICENSING: CC0: No rights reserved	LICENCIA: CC0: Sin derechos reservados
We find ourselves in remarkable circumstances this month.	We encuentra ourselves in notable circunstancias esto month.	Este mes, nos encontramos en circunstancias singulares.
The COVID-19 epidemic is something that makes clear our global human interconnectedness and the responsibilities we have to one another.	The COVID-19 epidemic is something that makes clear our global human interconnectedness and the responsibilities we have to one another.	La epidemia de la COVID-19 pone en evidencia nuestra interconexión humana a nivel global y las responsabilidades que tenemos el uno con el otro.
We don’t have precedent for its challenges, but we do know that our best response relies on the sort of global empathy, cooperation, and community building that sits at the heart of this organization.	We don’t tienen precedente para sus challenges, sino we do conozca que nuestro mejor respuesta relies on el sort of globales empathy, cooperation, y comunidad edificación que sits at el corazón of esta organization.	Los desafíos que presenta no tienen precedentes, pero sabemos que nuestra mejor respuesta radica en la empatía, la cooperación y la construcción comunitaria global que conforman el núcleo de esta organización.
The camaraderie and care we have seen among all of our colleagues over email, calls, and chats is a remarkable validation of the incredible humans we are fortunate enough to work with.	The camaraderie and care we have seen among all of our colleagues over email, calls, and chats is a remarkable validation of the incredible humans we are fortunate enough to work with.	La camaradería y la preocupación que hemos visto entre todos nuestros compañeros en los mensajes de correo electrónico, las llamadas y las conversaciones es una gran validación de cuán increíbles son las personas con las que tenemos la suerte de trabajar.
I couldn’t be more grateful and proud to count you all as colleagues.	I couldn’t be más agradecido y orgullosos to recuento te todas as colleagues.	No podría sentir mayor agradecimiento y orgullo de que todos ustedes sean mis compañeros.
Last week, someone shared with me their appreciation for our work.	últimos week, alguien compartida con me su apreciación para nuestras work.	La semana pasada, alguien compartió conmigo el aprecio que sentía por nuestro trabajo.
They reminded me how meaningful it is for the world to be able to turn to Wikipedia right now, and what a powerful symbol it is for this critical resource to remain online and available to all.	ellas reminded me cómo significativa it is para el mundo to be capaz to turno to wikipedia derecho now, y qué a potente símbolo it is para este critica recursos to permanezcan conectado y disponibles to all.	Me recordaron cuán importante es para el mundo poder acudir a Wikipedia en este momento y el poderoso símbolo que es el hecho de que este recurso crítico permanezca en línea y disponible para todos.
Your work makes this possible, whether you keep the sites stay up or our colleagues paid or our communities safe.	tus trabajar hace este possible, whether vos conservar las sitios quédate up or nuestro colegas pagado or nuestro comunidades safe.	Su trabajo hace que esto sea posible, ya sea al mantener los sitios en funcionamiento, ayudar a que nuestros compañeros reciban su pago o mantener a salvo nuestras comunidades.
The world needs the information that Wikipedia provides, now more than ever.	los mundo necesidades el informaciones eso wikipedia provides, ahora más than ever.	El mundo necesita la información que Wikipedia proporciona, hoy más que nunca.
This is a moment in which not only what we do, but how we do it, will make a meaningful impact on the world.	This is a moment in which not only what we do, but how we do it, will make a meaningful impact on the world.	Este es un momento en el que no solo lo que hacemos sino la forma en que lo hacemos tendrán un profundo efecto en el mundo.
Because of the importance of this mission and your role in it, we will be making some significant adjustments to how we work together, starting this coming week.	porque of la importancia of esto mision y tu rol in it, we testamento be haciendo some significativa adaptaciones to how we trabajo together, comenzando esta llegando week.	Debido a la importancia de esta misión y a su papel en esta, a partir de esta próxima semana, haremos algunos ajustes importantes a la forma en que trabajamos juntos.
Adjustments to our work and schedules	Adjustments to our work and schedules	Ajustes a nuestro trabajo y nuestros cronogramas
As Robyn mentioned previously, the c-team met last night to discuss our approach and schedule for the coming days and months.	As robyn mencionado previously, los c-team met últimos night to discuta nuestro acercamiento y horarios para los venir days y months.	Como mencionó anteriormente Robyn, el equipo C se reunió anoche para hablar sobre nuestro enfoque y nuestro cronograma para los próximos días y meses.
In that conversation, we considered what we thought would be an appropriate response to what we’re facing and the best way to keep the organization sustainable during this time.	In eso conversation, we consideradas qué we pensamiento would be an apropiadas respuesta to qué we’re afrontando y la best camino to mantener los organización sostenibles durante esta time.	En esa conversación, consideramos cuál creíamos que sería una respuesta adecuada a lo que estamos enfrentando y cuál sería la mejor manera de mantener la sostenibilidad de la organización en este momento.
Overwhelmingly we wanted to remove stress and support our mission for the long term.	abrumadoramente we quería to eliminar stress y apoyo nuestra misión para la largos term.	En mayor medida, queríamos era eliminar el estrés y respaldar nuestra misión a largo plazo.
If you need to dial back, that’s okay.	If tu necesitar to dial back, that’s okay.	Si necesita reducir la velocidad, está bien.
For all staff, contractors, and contract workers:	For all staff, contractors, and contract workers:	Para todo el personal, los contratistas y los trabajadores con contrato:
our daily working expectations will be about 4 hours a day, or 20 hours a week until further notice.	nuestro cotidiano trabajar expectativas testamento be acerca 4 horario a day, or 20 horarios a week hasta further notice.	nuestras expectativas de trabajo diario serán de alrededor de 4 horas al día o 20 horas a la semana, hasta próximo aviso.
We’re not declaring a holiday - if you are able to work more normal hours, the mission can use you.	We’re not declarar a vacaciones - if te son capaz to obra more normal hours, las misión puedo utilizar you.	No estamos declarando un feriado; si puede trabajar en un horario más normal, esto sería de gran utilidad para la misión.
However, the world is unpredictable right now, and whether you need to care for loved ones, get groceries, or go to the doctor, your well-being is our priority.	However, the world is unpredictable right now, and whether you need to care for loved ones, get groceries, or go to the doctor, your well-being is our priority.	Sin embargo, el mundo es un lugar impredecible actualmente, y ya sea que tenga que cuidar a sus seres queridos, hacer compras o ir al médico, nuestra prioridad es su bienestar.
We are not tracking your time.	We are no rastreando sus time.	No estamos llevando la cuenta de sus horas.
If you are sick, do not work.	If you are sick, do not work.	Si está enfermo, no trabaje.
This should go without saying, but we’re saying it.	This should go without saying, but we’re saying it.	Aunque no debería hacer falta decirlo, nosotros lo decimos.
No sick days or PTO required - just tell your manager and help your team revise calendars and schedules to make sure key areas of work are covered.	No enfermos días or pto requerida - simplemente decir su gerente y ayudar sus team revise calendarios y horarios to hacer claro tecla áreas of trabajo are covered.	No es necesario pedir licencia por enfermedad ni tiempo libre remunerado; solo informe a su gerente y ayude a su equipo a revisar los calendarios y cronogramas para asegurarse de que estén cubiertas las áreas clave del trabajo.
(If you are diagnosed positive for COVID-19, please let Bryan within T &amp; amp;C Ops know so T &amp; amp;C can help with support and make sure your situation gets appropriate attention from management).	(If you are diagnosed positive for COVID-19, please let Bryan within T &amp; amp;C Ops know so T &amp; amp;C can help with support and make sure your situation gets appropriate attention from management).	(Si recibe un diagnóstico positivo de COVID-19, avísele a Bryan, de Operaciones de T &amp; C, para que T &amp; C pueda ayudar con el soporte y asegurarse de que la gerencia esté al tanto de su situación).
Hourly folks will be fully paid.	Hourly folks will be totalmente paid.	La gente que trabaje por hora recibirá el pago total.
We have already said, and are recommitting to honor our commitments to our contractors and hourly staff colleagues.	We have already said, and are recommitting to honor our commitments to our contractors and hourly staff colleagues.	Como hemos dicho, renovamos nuestro compromiso con nuestros contratistas y compañeros de personal que trabajan por hora.
Everyone will be paid on the basis of their usual hours worked during normal circumstances.	todos testamento be pagadas on el basis of su usual horario trabajado durante normalidad circumstances.	A todos se les pagará sobre la base de sus horas normales trabajadas en circunstancias normales.
This includes if you are sick and unable to work.	This includes if you are sick and unable to work.	Esto se aplica también si está enfermo y no puede trabajar.
If you want to work, we support you.	If you want to work, we support you.	Si quiere trabajar, tiene nuestro apoyo.
Many people use work as a way of channeling their stress with the world around us.	muchos gente uso obra as a manera of canalización sus stress con el world around us.	Muchas personas usan el trabajo como una forma de canalizar su estrés con el mundo que nos rodea.
What we do can be incredibly rewarding, especially during times like this.	qué we do puede be increíblemente rewarding, especialmente durante tiempos como this.	Lo que hagamos puede ser increíblemente gratificante, especialmente en estos tiempos.
Again, this is about your self-care.	Again, este is acerca sus self-care.	Nuevamente, se trata de su cuidado personal.
Our ask is that you communicate with your manager, so we know what to expect and can adjust accordingly.	Our ask is that you communicate with your manager, so we know what to expect and can adjust accordingly.	Lo que les pedimos es que se comuniquen con su gerente para que sepamos qué esperar y podamos adaptarnos correctamente.
Some work is considered essential.	algunos trabaje is considerados essential.	Ciertos trabajo se considera esencial.
There are some things that we must keep doing.	ahí son algunos things que we debe conservar doing.	Hay algunas cosas que debemos seguir haciendo.
The SRE, HR Ops, Trust &amp; amp; Safety, and Fundraising teams (among others) do critical work that may need additional support.	The SRE, HR Ops, Trust &amp; amp; Safety, and Fundraising teams (among others) do critical work that may need additional support.	Los equipos de Ingeniería de Confiabilidad de Sitios, Operaciones de Recursos Humanos, Confianza y Seguridad y Recaudación de Fondos, entre otros, desempeñan una labor crítica que podría requerir apoyo adicional.
We’ll begin a process with all departments to assess current objectives and shift our focus to supporting what’s essential for our mission.	We’ll comenzar a proceso con todo departamentos to evalúa actual objetivos y turno nuestros centrar to apoyar what’s indispensable para nuestras mission.	Comenzaremos un proceso con todos los departamentos para evaluar los objetivos actuales y modificar nuestro enfoque a fin de respaldar aquello que sea esencial para nuestra misión.
There’s plenty to do for all of us, we just will all focus on the most essential projects.	There’s plenty to do for all of us, we just will all focus on the most essential projects.	Hay suficientes tareas para todos nosotros; la única diferencia es que nos concentraremos todos en los proyectos más esenciales.
Slowing now won’t hurt later.	desaceleración ahora won’t herido later.	Reducir la velocidad hoy no nos dañará mañana.
We do not plan to go “double-time to catch up” once the pandemic has passed.	We do no plano to go “double-time to capturas up” once el pandemia tiene passed.	"No planeamos ""duplicar las horas para ponernos al día"" cuando termine la pandemia."
You will not be expected to work extra hours to meet deadlines which are now unrealistic.	tu voluntad not be esperaban to trabaje extra horario to conozca plazos cual están now unrealistic.	No se esperará que trabaje horas extras para cumplir con plazos que ya no son realistas.
We accept that circumstances have changed, and will work to set new targets and timelines where appropriate.	We accept that circumstances have changed, and will work to set new targets and timelines where appropriate.	Aceptamos que las circunstancias han cambiado y trabajaremos para establecer nuevos objetivos y plazos cuando sea adecuado.
What happens with the APP (Annual Planning)?	qué pasa con los app (Annual Planning)?	¿Qué sucede con la APP, o Planificación Anual?
To adjust to our new reality and daily working hour expectations, we intend to adjust the timeline for the delivery of our 2020-2021 Annual Plan.	To ajuste to nuestras nueva reality y diariamente funcionando hora expectations, we intend to ajuste las cronología para el entrega of nuestras 2020-2021 anualmente Plan.	Para ajustarnos a nuestra nueva realidad y expectativas de horas laborales diarias, planeamos ajustar el cronograma para la entrega de nuestra Planificación Anual de 2020-2021.
Our intention is to propose an extension of our 2019-2020 plan that allows more time for budgeting to allow employees to prioritize critical work, self-care, and care for loved ones while accommodating those who need or wish to work a reduced schedule over the next few weeks.	Our intention is to propose an extension of our 2019-2020 plan that allows more time for budgeting to allow employees to prioritize critical work, self-care, and care for loved ones while accommodating those who need or wish to work a reduced schedule over the next few weeks.	Nuestra intención es proponer una extensión de nuestro plan de 2019-2020 que asigne más tiempo al presupuesto a fin de que los empleados puedan priorizar el trabajo crítico, el cuidado personal y el cuidado de los seres queridos mientras nos adaptamos a las necesidades de quienes necesitan o desean trabajar con un horario reducido durante las próximas semanas.
This timeline extension greatly reduces current planning workloads and pressure across the whole organization.	This timeline extension greatly reduces current planning workloads and pressure across the whole organization.	Esta extensión de nuestro cronograma reduce en gran medida las cargas actuales de planificación y la presión en toda la organización.
We will introduce our proposal to the Board next week and will update delegates and teams on the next steps as soon as we have confirmation.	We will introducir nuestra proposición to los junta proxima semana y testamento actualizar delegados y equipos on los próxima pasos as próximamente as we tienen confirmation.	Presentaremos nuestra propuesta ante el Consejo la semana que viene y les comunicaremos los próximos pasos a los delegados y a los equipos apenas tengamos una confirmación.
Thank you to the APP team for your leadership in this.	gracias tú to la app equipo para sus liderazgo in this.	Gracias al equipo de APP por su liderazgo en esta situación.
Office status, exposure, and cleaning	office status, exposure, y limpiando	Estado, exposición y limpieza de la oficina
Last week, we learned that one of our SF-based colleagues may have been exposed to the COVID-19 virus.	Last week, we learned that one of our SF-based colleagues may have been exposed to the COVID-19 virus.	La semana pasada nos enteramos de que uno de nuestros compañeros de la oficina de San Francisco podría haber estado expuesto al virus de la COVID-19.
However, out of an abundance of caution, we employed an antiviral cleaning crew to disinfect all surfaces in the San Francisco office.	However, out of an abundance of caution, we employed an antiviral cleaning crew to disinfect all surfaces in the San Francisco office.	Sin embargo, como medida de precaución, contratamos un equipo de limpieza antivírica para que desinfectara todas las superficies de la oficina de San Francisco.
They utilized a hospital-grade anti-viral solution to disinfect every surface, as well as the lobby and elevator banks accessing our floor.	ellos utilizada a hospital-grade anti-viral solucion to desinfección cada surface, as pues as los vestíbulo y ascensor banks acceder nuestros floor.	Usaron una solución antivírica de uso hospitalario para desinfectar todas las superficies, además de la recepción y los ascensores que van a nuestro piso.
