original_english	augmented_chinglish	original_chinese
Your work makes this possible, whether you keep the sites stay up or our colleagues paid or our communities safe.	你的 工作 makes 這 possible, whether 你 keep the sites 留 up or our colleagues 付費 or our communities safe.	无论您的工作是负责网站运营、薪资支付还是社区安全，Wikimedia的正常运转都离不开各位的辛勤付出。
The world needs the information that Wikipedia provides, now more than ever.	The 世界 需要 the 資訊 那個 Wikipedia provides, 現在 更 than ever.	当下的世界比以往任何时候都更需要Wikipedia提供的信息。
This is a moment in which not only what we do, but how we do it, will make a meaningful impact on the world.	這 is a 時刻 in which not 只 what we do, 但 如何 we do it, 威爾 make a 有意義 影響力 on the world.	现阶段，我们的工作内容乃至工作方式，都将对世界产生重要影响。
Because of the importance of this mission and your role in it, we will be making some significant adjustments to how we work together, starting this coming week.	因為 of the 重要性 of 這個 任務 而且 你的 作用 in it, we 將 be making 有些 significant 調整 to 如何 we 工作 together, starting 這個 coming week.	鉴于这份使命的重要意义以及各位同事肩负的重任，我们将从下周开始对我们的协作方式做出一些重要调整。
Adjustments to our work and schedules	Adjustments to our work and schedules	工作方式和时间表调整
As Robyn mentioned previously, the c-team met last night to discuss our approach and schedule for the coming days and months.	As Robyn mentioned previously, the c-team 遇見 最後 夜 to 討論 our approach 和 附表 for the coming 天數 還有 months.	正如Robyn之前提到的，高管团队昨晚开会，对公司在接下来的几天到几个月中的工作方式和时间表进行了讨论。
In that conversation, we considered what we thought would be an appropriate response to what we’re facing and the best way to keep the organization sustainable during this time.	In 那個 conversation, we considered what we 思想 would be an 適當 答復 to what we’re 面對 而且 the best way to keep the 組織 sustainable during 這 time.	会上，我们考虑了我们所认为的针对公司当前面临的挑战的适当应对措施，以及保证公司在疫情期间保持可持续发展的最佳做法。
Overwhelmingly we wanted to remove stress and support our mission for the long term.	Overwhelmingly we 通緝 to 移除 壓力 還有 支援 our 任務 for the 長 term.	高管团队一致同意为公司员工减轻压力，从而让大家能长久支持公司的使命。
If you need to dial back, that’s okay.	If you need to dial back, that’s okay.	我们支持您适当减轻工作压力。
For all staff, contractors, and contract workers:	For 所有 staff, contractors, 而且 合約 workers:	对于所有员工、承包商和合同工：
our daily working expectations will be about 4 hours a day, or 20 hours a week until further notice.	our 每日 工作 期望 將 be 關於 4 小時 a day, or 20 小時 a 周 直到 進一步 notice.	我们的日常工作时间将调整为每天4小时（或每周20小时），后续如有变化会另行通知。
We’re not declaring a holiday - if you are able to work more normal hours, the mission can use you.	We’re not declaring a holiday - if you are able to work more normal hours, the mission can use you.	本次调整并非放假通知。如果您每天能工作更长时间，我们会根据您的工作时长给您安排任务。
However, the world is unpredictable right now, and whether you need to care for loved ones, get groceries, or go to the doctor, your well-being is our priority.	However, the world is unpredictable right now, and whether you need to care for loved ones, get groceries, or go to the doctor, your well-being is our priority.	但是，鉴于当前世界形势具有不可预测性，我们会优先照顾您的个人需求，例如照顾家人、外出购物或看病就诊。
We are not tracking your time.	We are not tracking your time.	我们不会跟踪您的工作时间。
If you are sick, do not work.	If 你 are sick, do not work.	如果您生病了，请放下工作。
This should go without saying, but we’re saying it.	這 應該 go without saying, 但 we’re saying it.	这虽是不言而喻之事，但我们还是想要提醒您，请您放心。
No sick days or PTO required - just tell your manager and help your team revise calendars and schedules to make sure key areas of work are covered.	No 生病 天數 or pto required - 只是 tell 你的 經理 和 幫助 你的 球隊 revise 日曆 而且 附表 to make sure key 地區 of 工作 are covered.	您无需请病假或带薪事假，但您需要告知经理，并帮助您的团队修改工作日历和时间表，确保关键的工作领域不会受到影响。
(If you are diagnosed positive for COVID-19, please let Bryan within T &amp; amp;C Ops know so T &amp; amp;C can help with support and make sure your situation gets appropriate attention from management).	(If you are diagnosed positive for COVID-19, please let Bryan within T &amp; amp;C Ops know so T &amp; amp;C can help with support and make sure your situation gets appropriate attention from management).	（如果您被诊断为COVID-19阳性，请告知人才与文化运营部门的Bryan，该部门会为您提供支持，并确保您的情况得到管理层的妥善关注。）
Hourly folks will be fully paid.	Hourly folks will be fully paid.	对于时薪制员工，我们会全额支付薪资。
We have already said, and are recommitting to honor our commitments to our contractors and hourly staff colleagues.	We have 已經 said, 還有 are recommitting to 名譽 our 承諾 to our 承包商 和 每小時 staff colleagues.	我们已经表示过，并再次承诺恪守向承包商和小时工同事们做出的承诺。
Everyone will be paid on the basis of their usual hours worked during normal circumstances.	每個人 威爾 be 付費 on the 基礎 of their 平時 小時 worked during 正常 circumstances.	我们向所有人支付的薪资将继续按照其在正常情况下完成正常工作时间所获的报酬进行计算。
This includes if you are sick and unable to work.	This includes if you are sick and unable to work.	即使您生病或无法工作也不例外。
If you want to work, we support you.	If 你 想要 to work, we 支援 you.	如果您愿意工作，我们会为您提供支持。
Many people use work as a way of channeling their stress with the world around us.	許多 人 利用 工作 as a way of channeling their 壓力 with the 世界 圍繞 us.	许多人选择通过工作与外界进行沟通，释放自己的压力。
What we do can be incredibly rewarding, especially during times like this.	What we do can be incredibly rewarding, especially during times like this.	我们的工作能够带来令人难以置信的回报，在目前这样的时期更是如此。
Again, this is about your self-care.	Again, 這 is 關於 你的 self-care.	但照顾好自己仍是第一位的。
Our ask is that you communicate with your manager, so we know what to expect and can adjust accordingly.	Our 問 is 那個 你 溝通 with 你的 manager, so we know what to expect 還有 can 調整 accordingly.	我们要求您与经理保持沟通，以便我们了解您的最新情况并做出相应调整。
Some work is considered essential.	Some work is considered essential.	优先保障重要工作。
There are some things that we must keep doing.	There are some things that we must keep doing.	我们必须维持一些重要工作的正常运转。
The SRE, HR Ops, Trust &amp; amp; Safety, and Fundraising teams (among others) do critical work that may need additional support.	The SRE, HR Ops, Trust &amp; amp; Safety, and Fundraising teams (among others) do critical work that may need additional support.	网站可靠性工程团队、人力资源运营团队、信任与安全团队和募资团队（及其他团队）进行的工作至关重要，这些工作可能需要额外的支持。
We’ll begin a process with all departments to assess current objectives and shift our focus to supporting what’s essential for our mission.	We’ll begin a process with all departments to assess current objectives and shift our focus to supporting what’s essential for our mission.	我们将开始与所有部门一起评估当前的各项目标，并将工作重点转移到支持对我们的使命而言至关重要的一些事项上来。
There’s plenty to do for all of us, we just will all focus on the most essential projects.	There’s plenty to do for 所有 of us, we 只是 將 所有 專注 on the 大多 essential projects.	我们所有人都有许多工作要做，但我们都需要将工作重点放在最重要的项目上。
Slowing now won’t hurt later.	Slowing now won’t hurt later.	暂时放慢脚步不会影响未来的发展。
We do not plan to go “double-time to catch up” once the pandemic has passed.	We do not plan to go “double-time to catch up” once the pandemic has passed.	我们不打算在疫情过后“加班赶进度”。
You will not be expected to work extra hours to meet deadlines which are now unrealistic.	你 將 not be 預期 to 工作 多餘 小時 to meet deadlines which are 現在 unrealistic.	我们不会要求您加班追赶工期，因为现在看来这不切实际。
We accept that circumstances have changed, and will work to set new targets and timelines where appropriate.	We 接受 那個 circumstances have changed, 而且 威爾 工作 to 設定 新的 目標 還有 timelines where appropriate.	我们接受，当前环境已然改变，我们会酌情设定新目标和时间表。
What happens with the APP (Annual Planning)?	What happens with the app (Annual Planning)?	APP（年度计划）会有何变化？
To adjust to our new reality and daily working hour expectations, we intend to adjust the timeline for the delivery of our 2020-2021 Annual Plan.	To 調整 to our 新的 現實 而且 每日 工作 時辰 expectations, we intend to 調整 the timeline for the 送貨 of our 2020-2021 Annual Plan.	为了适应新的现实状况和日常工作时间要求，我们计划调整2020-2021年度计划的交付时间表。
Our intention is to propose an extension of our 2019-2020 plan that allows more time for budgeting to allow employees to prioritize critical work, self-care, and care for loved ones while accommodating those who need or wish to work a reduced schedule over the next few weeks.	Our intention is to propose an extension of our 2019-2020 plan that allows more time for budgeting to allow employees to prioritize critical work, self-care, and care for loved ones while accommodating those who need or wish to work a reduced schedule over the next few weeks.	我们希望提议延长2019-2020计划，换取更多的时间用于制定预算，使各位员工能够优先安排关键工作并照顾好自己和家人；同时，为那些需要或希望在未来几周内减少工作量的员工调整工作安排。
This timeline extension greatly reduces current planning workloads and pressure across the whole organization.	This timeline extension greatly reduces current planning workloads and pressure across the whole organization.	延长时间表能够显著减少整个组织当前的计划工作量并降低工作压力。
We will introduce our proposal to the Board next week and will update delegates and teams on the next steps as soon as we have confirmation.	We will introduce our proposal to the Board next week and will update delegates and teams on the next steps as soon as we have confirmation.	我们将在下周向董事会提出上述提议。如果提议通过，我们会尽快向各位代表和各团队更新后续的工作安排。
Thank you to the APP team for your leadership in this.	Thank 你 to the app 隊伍 for 你的 領導 in this.	感谢APP团队在此过程中的领导。
Office status, exposure, and cleaning	辦事處 status, exposure, 還有 打掃	办公室状况、暴露和清洁
Last week, we learned that one of our SF-based colleagues may have been exposed to the COVID-19 virus.	Last week, we learned that one of our SF-based colleagues may have been exposed to the COVID-19 virus.	上周，我们了解到一位旧金山办事处的同事可能接触过COVID-19病毒。
However, out of an abundance of caution, we employed an antiviral cleaning crew to disinfect all surfaces in the San Francisco office.	However, 出局 of an abundance of caution, we 受雇 an antiviral 清洗 船員 to disinfect all surfaces in the san francisco office.	但是，出于谨慎起见，我们雇用了一些抗病毒清洁人员对旧金山办公室进行了全面消毒。
They utilized a hospital-grade anti-viral solution to disinfect every surface, as well as the lobby and elevator banks accessing our floor.	它們 utilized a hospital-grade anti-viral 溶液 to disinfect 每一個 surface, as well as the 大堂 還有 升降機 銀行 存取 our floor.	他们采用医院级的消毒解决方案，对各种表面以及通往我们楼层的大厅和电梯间进行消毒。
The building is employing its own duty-of-care protocol utilizing products that support the safety of their tenants.	The building is employing its own duty-of-care protocol utilizing products that support the safety of their tenants.	办公大楼正在履行其注意义务协议，使用相应产品来保障租户的安全。
We feel comfortable that the office will be well-prepared for when we decide to return.	We feel comfortable that the office will be well-prepared for when we decide to return.	我们相信，当大家决定返岗工作时，办公室已做好充分准备迎接大家。
Our DC office is located in a WeWork, which has shared its COVID-19 protocol with us and all DC-based staff members.	Our DC 辦公室 is 位於 in a WeWork, which has 共享 its COVID-19 protocol with us 而且 所有 DC-based staff members.	我们的华盛顿特区办事处采用的是WeWork办公室，WeWork与我们以及所有华盛顿特区工作人员共享COVID-19协议。
As of last week, our DC office moved to a fully remote setup in line with the guidance shared with San Francisco.	As of last week, our DC office moved to a fully remote setup in line with the guidance shared with San Francisco.	截至上周，华盛顿特区办事处已按照我们与旧金山办事处分享的指导措施，转为全员远程办公。
As some of our NYC-based colleagues know, we have also been in discussion about leasing a location in Brooklyn.	As some of our NYC-based colleagues know, we have also been in discussion about leasing a location in Brooklyn.	同时，正如某些纽约办事处的同事已经知道的那样，我们也一直在讨论在布鲁克林区租赁办公地点的有关问题。
These discussions are continuing but may be delayed.	這些 討論 are continuing 但 五月份 be delayed.	这些讨论仍在继续，但可能会推迟。
Some of our colleagues are working remotely for the first time.	有些 of our colleagues are 工作 remotely for the 第一 time.	部分同事第一次接触远程办公。
Our long-time remote colleagues know that it can be an adjustment, and wanted to offer you some advice:	Our long-time remote colleagues know that it can be an adjustment, and wanted to offer you some advice:	另一些长期远程办公的同事希望为这些同事提供一些调整工作方式方面的建议：
Limit the length of meetings to at most one or two hour increments.	Limit the length of meetings to at most one or two hour increments.	会议时间宜控制在一到两个小时内。
If longer sessions are required, consider how they can be broken up over the course of several days.	If longer sessions are required, consider how they can be broken up over the course of several days.	如需更长的时间，请考虑将会议内容分散到多个日期的会议中。
Clearly define the meeting, have an agenda, and send reading materials in advance.	Clearly define the meeting, have an agenda, and send reading materials in advance.	明确确定会议目标，制定会议议程，并提前发送阅读材料。
Make video the default, with tools like Google Docs and Zoom to facilitate live collaboration and connection.	Make 視訊 the default, with 工具 像 google Docs 和 放大 to facilitate live 合作 和 connection.	将视频会议作为默认会议方式，同时使用Google Docs和Zoom等工具进行在线协作和联系。
Have a lead to facilitate every meeting, someone to monitor the chat for questions and track the speaker list, and someone to help take notes (or do collaborative note-taking).	Have a 帶頭 to facilitate 每一個 meeting, 某人 to 監測 the 聊天 for 問題 還有 軌道 the 議長 list, 和 有人 to 幫助 take notes (or do 協作 note-taking).	在每项会议中，安排一个主持人主持会议，安排一人负责监控聊天窗口中的提问并跟踪发言人列表的变化，安排另一人负责（或采用多人协作方式）帮助做会议记录。
Send an email to tech support if you need a comfortable headset.	送出 an email to 科技 支援 if 你 需要 a 舒服 headset.	如果您需要舒适的耳机，请发送电子邮件与技术支持部门联系。
Use your wellness reimbursement for snacks.	Use your wellness reimbursement for snacks.	使用您的健康补贴来购买零食。
Join the #remoties channel in Slack to talk with your colleagues about distributed work	Join the #remoties channel in Slack to talk with your colleagues about distributed work	在Slack上加入#remoties频道，与同事们讨论分布式工作
The HR Operations team is looking into webinar-based ergonomics guidance to support the increase in distributed work across the Foundation.	The HR Operations team is looking into webinar-based ergonomics guidance to support the increase in distributed work across the Foundation.	人力资源运营团队正在研究网络研讨会形式的人体工程学指导，帮助Foundation全体同事在分布式办公期间提高工作效率。
This past week we asked all community grant recipients to cancel Wikimedia-funded public events, such as editathons, until the WHO declares the pandemic to be over.	這個 過往 周 we asked 所有 community grant 收件人 to 取消 Wikimedia-funded 公開 events, such as editathons, 直到 the 誰 declares the 流行病 to be over.	上周，我们要求所有社区受款方在WHO宣布疫情结束之前取消编辑松等由Wikimedia资助的公共活动。
We let them know that we understood that our request for cancellations and other restrictions could make it impossible to complete their agreed-upon grant activities and that no one would be penalized for having to delay or modify those goals.	We let them know that we understood that our request for cancellations and other restrictions could make it impossible to complete their agreed-upon grant activities and that no one would be penalized for having to delay or modify those goals.	这些关于取消活动的要求和其他限制要求可能会导致这些社区受款方无法完成原定的捐款活动，我们已告知他们我们理解这一点，同时还承诺他们任何人都不会因为推迟或修改这些目标而受到惩罚。
This coming week we will follow up with additional guidance on Wikimania and other regional and thematic community conferences.	這個 coming 周 we 將 跟著 up with 附加 指導 on wikimania 而且 其他 regional 而且 thematic community conferences.	在接下来的一周中，我们会在Wikimania及其他地区社区会议和主题社区会议上继续提供更多指导。
The general sentiment from around the global community seems to be both sadness at the disruption but relief at the clarity and ability to focus on their own communities, Wikimedia and otherwise.	The general sentiment 來自 周圍 the 全球 community seems to be both 悲哀 at the 擾亂 但是 救濟 at the 清晰度 還有 能力 to 專注 on their own communities, Wikimedia 而且 otherwise.	全球社区目前似乎正笼罩在因疫情破坏带来的悲伤中，但同时也反映出因能够清楚地对各自的社区、Wikimedia以及其他方面保持关注而感到宽慰。
Going forward, the CRT is working to set up a page on Meta-Wiki to provide a space for the community to monitor the impact and follow our communications with them.	Going forward, the CRT is working to set up a page on Meta-Wiki to provide a space for the community to monitor the impact and follow our communications with them.	未来，CRT团队将在Meta-Wiki上建立一个页面，为社区提供一个用来监控影响以及跟踪社区与我们的交流的空间。
Staying in touch around COVID-19 related issues	Staying in touch around COVID-19 related issues	保持联系，沟通COVID-19相关问题
We’ll be sending an invitation to your calendars for next Thursday, 14:00 UTC/07:00 PT for a special staff meeting.	We’ll be sending an 邀請 to 你的 日曆 for 下一步 Thursday, 14:00 UTC/07:00 PT for a 特別 staff meeting.	我们计划于下周四14:00（协调世界时）/07:00（太平洋时间）召开特别员工会议，我们稍后会向您的日历中发送相关邀请。
We’ll use this time to share additional updates, answer your questions and spend some time connecting with each other.	We’ll use this time to share additional updates, answer your questions and spend some time connecting with each other.	会上，我们会分享一些最新情况、解答您的问题并留出一些时间供大家交流讨论。
We’re in this together and here to help however we can.	We’re in 這 在一起 還有 這裡 to 幫助 然而 we can.	我们团结一心，在此竭诚为您提供帮助。
In the meantime, you can continue to find the information from this email, and all other essential COVID-19 related information, on Office Wiki.	In the meantime, you can continue to find the information from this email, and all other essential COVID-19 related information, on Office Wiki.	同时，您可以在Office Wiki上了解更多在此电子邮件中提到的信息以及其他与COVID-19相关的重要信息。
The CRT will keep these pages updated and all the information in one place.	The crt 威爾 keep 這些 頁 更新 和 all the 資訊 in 一 place.	CRT团队会及时更新这些页面，并将所有信息集中到一处。
We are also working to maintain regular communications with staff who reside in countries that are currently significantly affected.	We are 也 工作 to 維持 定期 通訊 with staff 誰 reside in 各國 那個 are 目前 significantly affected.	我们正设法与居住在目前受到疫情严重影响的国家/地区的员工保持定期沟通。
If you have any questions about travel, events, a major workstream, or coverage challenge, or anything else you may need help with, please don’t hesitate to notify and work with the CRT.	If you have any questions about travel, events, a major workstream, or coverage challenge, or anything else you may need help with, please don’t hesitate to notify and work with the CRT.	如果您对旅行、活动、主要工作流程或保险方面存在任何疑问，或者需要其他方面的帮助，请随时联系CRT团队并与之合作。
We’re here to help provide support and liaise as needed.	We’re 這裡 to 幫助 提供 支援 還有 liaise as needed.	我们在此竭诚为您提供所需的支持和联络。
If you have a confidential or sensitive matter, please email Bryan Judan - Director of HR International Global Operations.	If you have a confidential or sensitive matter, please email Bryan Judan - Director of HR International Global Operations.	如果您有涉密或敏感问题，请发送电子邮件联系全球人力资源运营部门主管Bryan Judan。
None of these changes should be seen as an abandonment of our work and obligations.	無 of 這些 變動 應該 be seen as an 廢棄 of our 工作 而且 obligations.	虽然我们面临这些变动，但我们不能因此而放弃自己的工作和义务。
Rather, they are a recognition that at this moment, our work and obligations will likely need to adapt in a way we have not in the past.	Rather, they are a recognition that at this moment, our work and obligations will likely need to adapt in a way we have not in the past.	相反，这次疫情让我们认识到，我们目前可能需要以过去未有过的方式对我们的工作和义务做出调整。
These are the steps we believe are necessary to support this one another so that we can continue to work, provide our movement with the support they need, and the world with the service they rely on.	這些 are the 步驟 we believe are 必要 to 支援 這個 one another so 那個 we can continue to work, 提供 our 運動 with the 支援 她們 need, 還有 the 世界 with the 服務 他們 rely on.	我们认为，这些措施很有必要，能让我们支持彼此继续完成工作，为我们的行动提供所需的支持，并继续为全世界带来他们所依赖的服务。
Our planned work will be there waiting for us when the time comes.	Our planned work will be there waiting for us when the time comes.	时刻做好计划，方能不惧挑战。
For now, it is time to support one another and create space for the important work that will be coming in the weeks and potentially months ahead.	For now, it is time to support one another and create space for the important work that will be coming in the weeks and potentially months ahead.	现在，请大家相互支持，共同为接下来几周甚至几个月的重要工作创造空间。
We need all of you to make that happen, and so we need you all to take care of yourself and your families so that you can be at your best when the need arises.	We 需要 所有 of 你 to make 那個 happen, 而且 so we 需求 你 all to take 護理 of yourself 還有 你的 家庭 so 那個 你 can be at 你的 best 當 the 需要 arises.	我们需要大家贡献力量来实现这一目标，因此，请大家照顾好自己和家人，以便在需要时保持最佳状态。
Now, please -- wash your hands and don’t touch your face!	Now, 請 -- 洗 你的 雙手 和 don’t 觸控 你的 face!	最后，请大家牢记勤洗手、勿碰脸。
Katherine, the CRT (Amanda K, Amy V, Bryan J, Doreen D, Gregory V, Jaime V, Joel L, Lynette L, Ryan M, and Tony S), and the rest of the Leadership Team (Grant I, Heather W, Jaime V, Janeen U, Lisa S, Robyn A, Ryan M, and Toby N).	Katherine, the CRT (Amanda K, Amy V, Bryan J, Doreen D, Gregory V, Jaime V, Joel L, Lynette L, Ryan M, and Tony S), and the rest of the Leadership Team (Grant I, Heather W, Jaime V, Janeen U, Lisa S, Robyn A, Ryan M, and Toby N).	Katherine、CRT团队（Amanda K、Amy V、Bryan J、Doreen D、Gregory V、Jaime V、Joel L、Lynette L、Ryan M和Tony S）携领导团队其他成员（Grant I、Heather W、Jaime V、Janeen U、Lisa S、Robyn A、Ryan M和Toby N）敬上。
The SARS-CoV-2 virus is the cause of COVID-19 (coronavirus disease 2019), a contagious respiratory disease that was first identified in December 2019, in Wuhan, Hubei, China.	The SARS-CoV-2 病毒 is the 原因 of COVID-19 (coronavirus 病 2019), a 傳染性 respiratory 病 那個 was 第一 identified in 十二月 2019, in Wuhan, Hubei, China.	COVID-19（2019 冠状病毒病）由 SARS-CoV-2 病毒引起，是一种传染性呼吸道疾病，2019 年 12 月首先在中国湖北武汉得到确认。
The disease is a type of coronavirus, the same family that includes SARS, MERS, and some varieties of the common cold.	The 疾病 is a 類型 of coronavirus, the 相同 家人 那個 包括 SARS, MERS, 還有 一些 品種 of the 共同 cold.	这是一种冠状病毒，同族病毒还有 SARS、MERS 和一些普通感冒变种。
It was declared a pandemic by the World Health Organization (WHO) on 11 March 2020.	It was declared a 流行病 by the 世界 健康 組織 (WHO) on 11 三月 2020.	2020 年 3 月 11 日，世界卫生组织 (WTO) 宣布该病为大流行病。
While much about COVID-19 is still unknown, preliminary data suggests that it is more virulent and contagious than the seasonal flu, and less virulent but more contagious than SARS and MERS.	While much about COVID-19 is still unknown, preliminary data suggests that it is more virulent and contagious than the seasonal flu, and less virulent but more contagious than SARS and MERS.	尽管关于 COVID-19 我们还有很多未知的地方，但初步数据表明，该病毒比季节性流感的毒性和传染性更强，毒性弱于 SARS 和 MERS 但传染性更强。
Older people and those with underlying conditions are the most at risk of serious complications including death.	Older people and those with underlying conditions are the most at risk of serious complications including death.	老年人以及患有基础性疾病的患者更容易出现严重的并发症，死亡率也更高。
Due to the spread of the disease, you are advised not to travel unless necessary, to avoid being infected, quarantined, or stranded by changing restrictions and cancelled flights.	Due to the spread of the disease, you are advised not to travel unless necessary, to avoid being infected, quarantined, or stranded by changing restrictions and cancelled flights.	因疾病还在传播，所以建议你除非必要不要出行，以避免被感染、被隔离，或因限制调整或航班取消而滞留。
Avoid crowded places whenever possible.	避免 擁擠 地方 每當 possible.	尽可能避免去人多的地方。
This is not just to protect you, but also those you come in contact with.	This is not just to protect you, but also those you come in contact with.	这不仅是为了保护你，也是为了保护接触你的人。
As it happens, you probably aren't missing much by staying home, as many attractions around the world are closing their doors to avoid spreading the disease.	As it happens, you probably aren't missing much by staying home, as many attractions around the world are closing their doors to avoid spreading the disease.	事实上你可能也无处可去，为了避免病毒扩散，全球很多景点都已关闭。
If you do need to travel, take precautions as you would for other infections: wash your hands frequently, avoid touching your face, cough and sneeze into your elbow or a tissue, and avoid contact with sick people.	If 你 do 需求 to travel, take precautions as 你 would for 其他 infections: 洗 你的 雙手 frequently, 避免 感人 你的 face, 咳嗽 還有 噴嚏 into 你的 肘 or a tissue, 還有 避免 接觸 with 病 people.	如果确实需要出行，请像对待其他传染病一样采取预防措施：勤洗手、避免触摸脸部、咳嗽和打喷嚏时用肘部或纸巾捂住口鼻以及避免接触患者。
Before traveling, read up on the extensive and fast-changing array of travel restrictions that have been imposed around the world.	前 traveling, 閱讀 up on the 廣泛 和 fast-changing 陣列 of 旅行 限制 那個 have been imposed 圍繞 the world.	出行前，建议先了解一下全球各地广泛施行且频繁变更的出行限制。
After travel, monitor your health and consider self-isolation for two weeks to avoid transmitting the disease to others.	After travel, monitor your health and consider self-isolation for two weeks to avoid transmitting the disease to others.	出行回来后，要注意监测自己的健康状况，并考虑自我隔离两周，以避免将疾病传染给他人。
Transportation from long-distance passenger flights to local buses has been curtailed or completely shut down in many countries due to low demand or government orders.	Transportation from long-distance passenger flights to local buses has been curtailed or completely shut down in many countries due to low demand or government orders.	在很多国家，受需求低或政府指令的影响，从长途客运航班到当地公共汽车的公交运输已被削减或完全停运。
Many international and regional borders are closed.	Many international and regional borders are closed.	很多国际和区域边境被关闭。
If you are away from home, and especially if you are in another country, consider returning home as soon as possible; this may get even more difficult as restrictions continue to change.	If 你 are away 來自 home, 和 尤其 if 你 are in another country, 考慮 returning home as 不久 as possible; 這 五月份 得到 甚至 多 困難 as 限制 continue to change.	如果你已经离家，尤其是到了其他国家，请考虑尽快回家；随着限制措施不断变化，后面再回家将越来越困难。
In some cases it may simply not be possible, even if you're healthy and meet the legal requirements for entry.	In some cases it may simply not be possible, even if you're healthy and meet the legal requirements for entry.	某些情况下甚至完全无法回家，即使是身体健康且符合入境法律要求的情况下。
If you can't find a way back to your country, contact your nearest embassy or consulate for assistance.	If you can't find a way back to your country, contact your nearest embassy or consulate for assistance.	如果你回国无门，请向最近的大使馆或领事馆寻求帮助。
They may be able to organize an evacuation, identify non-regularly scheduled flights, or give you an emergency loan to pay for transport.	他們 五月 be able to organize an evacuation, identify non-regularly 排定 flights, or give 你 an emergency 貸款 to 付費 for transport.	他们也许会组织撤离，确定不定期航班，或者为你提供紧急贷款以支付交通费用。
In case they can't, make preparations in case you need to stay where you are for an extended period.	In case they can't, make preparations in case you need to stay where you are for an extended period.	如果他们也没有办法帮你回国，请做好长期停留在现居地的准备。
If you do find a way back home, be prepared that it may be expensive, inconvenient, and have unusual restrictions (such as no checked baggage).	If 你 do 找到 a way 回 home, be prepared 那個 it 五月 be expensive, inconvenient, 而且 have 不尋常 限制 (such as no checked baggage).	如果你找到了回家的办法，也请做好准备，回家成本可能很高，可能非常不便，还可能受到不同寻常的限制（比如无法托运行李）。
As of early April 2020, the number of confirmed cases of COVID-19 is approaching one million.	As of 提前 四月 2020, the 號碼 of 確認 案例 of COVID-19 is 臨近 one million.	截至 2020 年 4 月初，COVID-19 确诊病例已接近 100 万。
Though the disease started in mainland China, it has spread around the world and China has fewer confirmed cases and deaths than several other countries.	雖然 the 病 started in 內地 China, it has 傳播 周圍 the 世界 還有 中國 has 更少 確認 案例 而且 deaths than several 其他 countries.	尽管该病起源于中国大陆，但已扩散到世界各地，中国确诊病例和死亡病例反而少于几个国家。
Europe is the new epicenter of the pandemic.	Europe is the new epicenter of the pandemic.	欧洲已成为此次疫情的新中心。
All but a handful of countries have reported at least one case, with the highest numbers of reported cases in the United States, Spain, Italy, Germany, France, mainland China, Iran, and the United Kingdom.	all 不過 a 屈指可數 of 各國 have reported at least 一 case, with the 最高 數字 of reported 案例 in the United States, Spain, Italy, Germany, France, 大陸 China, Iran, 還有 the United Kingdom.	除少数国家外，全球大部分国家均报告出现确诊病例，其中报告病例最多的国家有美国、西班牙、意大利、德国、法国、中国大陆、伊朗和英国。
Local transmission is established in many countries in all major inhabited regions of the world except some Pacific island nations.	當地 傳輸 is established in 許多 國家 in 全部 少校 inhabited 區域 of the 世界 除了 有些 太平洋 島嶼 nations.	除一些太平洋岛国外，许多国家在所有主要人居地区均确认区域传播现象。
(See updates from the WHO.)	(See 更新 從 the WHO.)	（详见 WHO 更新内容。）
The full extent of the spread is uncertain, due in part to limited testing.	The full extent of the spread is uncertain, due in part to limited testing.	全部传播范围还尚未确定，部分原因在于检测能力有限。
Many countries are experiencing a severe shortage of test kits, and the authorities have not been able to test everybody who is at high risk, so the real number of cases is probably much higher than the official one.	Many countries are experiencing a severe shortage of test kits, and the authorities have not been able to test everybody who is at high risk, so the real number of cases is probably much higher than the official one.	很多国家都面临着检测工具严重短缺的问题，公共卫生机构也无法对所有高风险人群进行检测，因此实际病例数可能远远高于官方数据。
Countries also differ in their testing and reporting practices, so comparisons of the number of reported cases do not tell the full story of how the epidemic has progressed in different areas.	各國 還 differ in their 測試 還有 報告 practices, so 對比 of the 編號 of reported 案例 do not tell the 滿 動態 of 如何 the 流行病 has progressed in 不同 areas.	各国采用的检测与报告方式也有所不同，因此仅仅比较病例数量并不能说明疫情在不同地区的传播程度。
The virus is transmitted through respiratory droplets and through objects.	The 病毒 is transmitted 通過 respiratory droplets 還有 透過 objects.	该病毒通过呼吸道飞沫和物体传播。
The coronavirus is a relatively large virus, meaning it is not truly airborne: it will settle down in respiratory droplets.	The coronavirus is a relatively large virus, meaning it is not truly airborne: it will settle down in respiratory droplets.	这种冠状病毒相对较大，因此并不会真正通过空气传播，而是附着在呼吸道飞沫中传播。
Staying two metres (six feet) away from other people is usually enough to prevent transmission through this route.	Staying two metres (six feet) away from other people is usually enough to prevent transmission through this route.	人与人之间保持 2 米（6 英尺）距离通常就足以阻断这条传播路径。
Transmission from objects can happen, for example, if someone sneezes, touches a doorknob, and then other people touch the doorknob and then touch their faces.	Transmission from objects can happen, for example, if someone sneezes, touches a doorknob, and then other people touch the doorknob and then touch their faces.	如果有人打了喷嚏，又摸了门把手，随后其他人也摸了该门把手，然后又摸了自己的脸，则可能发生物体传播。
